step	train/accuracy
0	36.19658119658119
1	82.22222222222221
2	95.85470085470085
3	96.83760683760684
4	97.22222222222221
5	98.11965811965811
6	98.76068376068376
7	98.54700854700855
8	98.93162393162393
9	98.76068376068376
10	98.97435897435898
11	98.67521367521368
12	99.01709401709402
13	99.23076923076923
14	99.1880341880342
15	99.01709401709402
16	99.23076923076923
17	99.27350427350427
18	99.52991452991454
19	99.40170940170941
20	99.48717948717949
21	99.31623931623932
22	99.27350427350427
23	99.40170940170941
